Season No.,Season,Club,Name,Position,Nationatility
1,2020/21,Arsenal,Bernd Leno,Goalkeeper,Germany
1,2020/21,Arsenal,Emiliano Martínez,Goalkeeper,Argentina
1,2020/21,Arsenal,Matt Macey,Goalkeeper,England
1,2020/21,Arsenal,Héctor Bellerín,Defender,Spain
1,2020/21,Arsenal,Kieran Tierney,Defender,Scotland
1,2020/21,Arsenal,William Saliba,Defender,France
1,2020/21,Arsenal,Sokratis Papastathopoulos,Defender,Greece
1,2020/21,Arsenal,Rob Holding,Defender,England
1,2020/21,Arsenal,Shkodran Mustafi,Defender,Germany
1,2020/21,Arsenal,Calum Chambers,Defender,England
1,2020/21,Arsenal,David Luiz,Defender,Brazil
1,2020/21,Arsenal,Sead Kolasinac,Defender,Bosnia & Herzegovina
1,2020/21,Arsenal,Mesut Özil,Midfielder,Germany
1,2020/21,Arsenal,Lucas Torreira,Midfielder,Uruguay
1,2020/21,Arsenal,Ainsley Maitland-Niles,Midfielder,England
1,2020/21,Arsenal,Mohamed Elneny,Midfielder,Egypt
1,2020/21,Arsenal,Joseph Willock,Midfielder,England
1,2020/21,Arsenal,Mattéo Guendouzi,Midfielder,France
1,2020/21,Arsenal,Emile Smith Rowe,Midfielder,England
1,2020/21,Arsenal,Granit Xhaka,Midfielder,Switzerland
1,2020/21,Arsenal,Bukayo Saka,Midfielder,England
1,2020/21,Arsenal,Alexandre Lacazette,Forward,France
1,2020/21,Arsenal,Pierre-Emerick Aubameyang,Forward,Gabon
1,2020/21,Arsenal,Nicolas Pépé,Forward,Cote D’Ivoire
1,2020/21,Arsenal,Reiss Nelson,Forward,England
1,2020/21,Arsenal,Eddie Nketiah,Forward,England
1,2020/21,Arsenal,Gabriel Martinelli,Forward,Brazil
1,2020/21,Arsenal,Dani Ceballos,Midfielder,Spain
1,2020/21,Arsenal,Robbie Burton,Midfielder,Wales
1,2020/21,Arsenal,Matthew Smith,Defender,England
1,2020/21,Arsenal,Zech Medley,Defender,England
1,2020/21,Arsenal,Willian,Forward,Brazil
